id,topic,message,timestamp,Temperature (°C),Air Quality,Humidity
516,t4g1,27.6;68.8;39,2024-07-22 22:11:38,27.6,68.8,39
517,t4g1,27.6;68.7;40,2024-07-22 22:21:39,27.6,68.7,40
518,t4g1,27.6;69.2;39,2024-07-22 22:31:39,27.6,69.2,39
519,t4g1,27.6;69.2;39,2024-07-22 22:41:40,27.6,69.2,39
520,t4g1,27.6;69.6;38,2024-07-22 22:51:40,27.6,69.6,38
521,t4g1,27.6;69.4;39,2024-07-22 23:01:41,27.6,69.4,39
522,t4g1,27.6;69.7;39,2024-07-22 23:11:41,27.6,69.7,39
523,t4g1,27.6;70.0;39,2024-07-22 23:21:42,27.6,70.0,39
524,t4g1,27.6;70.0;39,2024-07-22 23:31:42,27.6,70.0,39
525,t4g1,27.6;70.1;38,2024-07-22 23:41:43,27.6,70.1,38
526,t4g1,27.6;70.2;40,2024-07-22 23:51:43,27.6,70.2,40
527,t4g1,27.7;70.3;40,2024-07-23 00:01:44,27.7,70.3,40
528,t4g1,27.6;70.6;39,2024-07-23 00:11:45,27.6,70.6,39
529,t4g1,27.6;70.8;39,2024-07-23 00:21:45,27.6,70.8,39
530,t4g1,27.6;70.7;40,2024-07-23 00:31:45,27.6,70.7,40
531,t4g1,27.7;70.9;41,2024-07-23 00:41:46,27.7,70.9,41
532,t4g1,27.7;71.0;40,2024-07-23 00:51:47,27.7,71.0,40
533,t4g1,27.7;70.7;40,2024-07-23 01:01:47,27.7,70.7,40
534,t4g1,27.7;71.1;40,2024-07-23 01:11:48,27.7,71.1,40
535,t4g1,27.7;71.4;39,2024-07-23 01:21:48,27.7,71.4,39
536,t4g1,27.7;72.1;39,2024-07-23 01:31:49,27.7,72.1,39
537,t4g1,27.7;72.3;39,2024-07-23 01:41:49,27.7,72.3,39
538,t4g1,27.7;72.7;39,2024-07-23 01:51:50,27.7,72.7,39
539,t4g1,27.7;72.7;39,2024-07-23 02:01:50,27.7,72.7,39
540,t4g1,27.7;72.8;39,2024-07-23 02:11:51,27.7,72.8,39
541,t4g1,27.7;73.0;39,2024-07-23 02:21:51,27.7,73.0,39
542,t4g1,27.7;72.9;43,2024-07-23 02:31:52,27.7,72.9,43
543,t4g1,27.7;73.0;39,2024-07-23 02:41:52,27.7,73.0,39
544,t4g1,27.7;73.1;40,2024-07-23 02:51:53,27.7,73.1,40
545,t4g1,27.7;73.3;34,2024-07-23 03:01:53,27.7,73.3,34
546,t4g1,27.7;73.0;40,2024-07-23 03:11:54,27.7,73.0,40
547,t4g1,27.7;73.3;40,2024-07-23 03:21:55,27.7,73.3,40
548,t4g1,27.7;73.5;40,2024-07-23 03:31:55,27.7,73.5,40
549,t4g1,27.7;73.5;39,2024-07-23 03:41:56,27.7,73.5,39
550,t4g1,27.7;73.6;40,2024-07-23 03:51:56,27.7,73.6,40
551,t4g1,27.7;73.5;40,2024-07-23 04:01:57,27.7,73.5,40
552,t4g1,27.7;73.3;40,2024-07-23 04:11:57,27.7,73.3,40
553,t4g1,27.7;73.4;40,2024-07-23 04:21:58,27.7,73.4,40
554,t4g1,27.7;73.4;40,2024-07-23 04:31:58,27.7,73.4,40
555,t4g1,27.7;73.9;37,2024-07-23 04:41:59,27.7,73.9,37
556,t4g1,27.8;73.7;39,2024-07-23 04:51:59,27.8,73.7,39
557,t4g1,27.8;74.2;39,2024-07-23 05:02:00,27.8,74.2,39
558,t4g1,27.7;74.5;40,2024-07-23 05:12:01,27.7,74.5,40
559,t4g1,27.7;74.4;39,2024-07-23 05:22:01,27.7,74.4,39
560,t4g1,27.7;74.7;39,2024-07-23 05:32:02,27.7,74.7,39
561,t4g1,27.8;75.0;39,2024-07-23 05:42:02,27.8,75.0,39
562,t4g1,27.8;74.8;39,2024-07-23 05:52:03,27.8,74.8,39
563,t4g1,27.8;74.9;39,2024-07-23 06:02:04,27.8,74.9,39
564,t4g1,27.8;75.3;38,2024-07-23 06:12:04,27.8,75.3,38
565,t4g1,27.8;75.3;39,2024-07-23 06:22:05,27.8,75.3,39
566,t4g1,27.8;75.2;38,2024-07-23 06:32:05,27.8,75.2,38
567,t4g1,27.7;70.7;39,2024-07-23 06:42:06,27.7,70.7,39
568,t4g1,27.3;69.4;43,2024-07-23 06:52:06,27.3,69.4,43
569,t4g1,26.9;68.3;45,2024-07-23 07:02:07,26.9,68.3,45
570,t4g1,26.7;67.5;45,2024-07-23 07:12:08,26.7,67.5,45
571,t4g1,26.6;66.6;46,2024-07-23 07:22:08,26.6,66.6,46
572,t4g1,26.3;66.0;47,2024-07-23 07:32:09,26.3,66.0,47
573,t4g1,26.2;65.3;48,2024-07-23 07:42:09,26.2,65.3,48
574,t4g1,26.0;64.1;47,2024-07-23 07:52:10,26.0,64.1,47
575,t4g1,25.8;63.0;47,2024-07-23 08:02:10,25.8,63.0,47
576,t4g1,25.7;62.1;47,2024-07-23 08:12:11,25.7,62.1,47
577,t4g1,25.6;60.8;48,2024-07-23 08:22:11,25.6,60.8,48
578,t4g1,25.4;60.4;47,2024-07-23 08:32:12,25.4,60.4,47
579,t4g1,25.3;59.7;47,2024-07-23 08:42:12,25.3,59.7,47
580,t4g1,25.3;58.8;47,2024-07-23 08:52:13,25.3,58.8,47
581,t4g1,25.2;58.6;46,2024-07-23 09:02:13,25.2,58.6,46
582,t4g1,25.2;58.2;48,2024-07-23 09:12:14,25.2,58.2,48
583,t4g1,25.1;57.8;46,2024-07-23 09:22:14,25.1,57.8,46
584,t4g1,25.1;57.7;47,2024-07-23 09:32:15,25.1,57.7,47
585,t4g1,25.1;57.3;48,2024-07-23 09:42:15,25.1,57.3,48
586,t4g1,25.1;57.6;46,2024-07-23 09:52:16,25.1,57.6,46
587,t4g1,25.1;57.8;46,2024-07-23 10:02:16,25.1,57.8,46
588,t4g1,25.1;58.4;46,2024-07-23 10:12:17,25.1,58.4,46
589,t4g1,25.3;58.0;46,2024-07-23 10:22:18,25.3,58.0,46
590,t4g1,25.5;57.8;46,2024-07-23 10:32:18,25.5,57.8,46
591,t4g1,25.4;58.4;48,2024-07-23 10:42:19,25.4,58.4,48
592,t4g1,25.5;58.1;46,2024-07-23 10:52:19,25.5,58.1,46
593,t4g1,25.5;58.2;45,2024-07-23 11:02:20,25.5,58.2,45
594,t4g1,25.5;59.0;45,2024-07-23 11:12:20,25.5,59.0,45
595,t4g1,25.5;59.1;45,2024-07-23 11:22:21,25.5,59.1,45
596,t4g1,25.6;59.4;45,2024-07-23 11:32:21,25.6,59.4,45
597,t4g1,25.6;59.3;45,2024-07-23 11:42:22,25.6,59.3,45
598,t4g1,25.8;58.8;46,2024-07-23 11:52:22,25.8,58.8,46
599,t4g1,25.9;58.2;46,2024-07-23 12:02:23,25.9,58.2,46
600,t4g1,25.8;58.5;45,2024-07-23 12:12:23,25.8,58.5,45
601,t4g1,25.8;58.6;47,2024-07-23 12:22:24,25.8,58.6,47
602,t4g1,26.0;58.4;47,2024-07-23 12:32:24,26.0,58.4,47
603,t4g1,25.9;58.8;48,2024-07-23 12:42:25,25.9,58.8,48
604,t4g1,26.0;58.2;46,2024-07-23 12:52:25,26.0,58.2,46
605,t4g1,26.2;57.9;47,2024-07-23 13:02:26,26.2,57.9,47
606,t4g1,26.2;58.2;46,2024-07-23 13:12:26,26.2,58.2,46
607,t4g1,26.2;57.8;47,2024-07-23 13:22:27,26.2,57.8,47
608,t4g1,26.3;58.4;45,2024-07-23 13:32:27,26.3,58.4,45
609,t4g1,26.5;59.2;46,2024-07-23 13:42:28,26.5,59.2,46
610,t4g1,26.7;59.4;46,2024-07-23 13:52:28,26.7,59.4,46
611,t4g1,26.9;58.8;45,2024-07-23 14:02:29,26.9,58.8,45
612,t4g1,26.9;59.5;47,2024-07-23 14:12:30,26.9,59.5,47
613,t4g1,26.8;60.1;46,2024-07-23 14:22:30,26.8,60.1,46
614,t4g1,27.0;58.4;45,2024-07-23 14:32:31,27.0,58.4,45
615,t4g1,27.2;58.9;45,2024-07-23 14:42:31,27.2,58.9,45
616,t4g1,27.1;59.6;45,2024-07-23 14:52:32,27.1,59.6,45
617,t4g1,27.2;59.0;45,2024-07-23 15:02:32,27.2,59.0,45
618,t4g1,27.3;59.8;45,2024-07-23 15:12:33,27.3,59.8,45
619,t4g1,27.3;59.6;45,2024-07-23 15:22:33,27.3,59.6,45
620,t4g1,27.4;60.0;45,2024-07-23 15:32:34,27.4,60.0,45
621,t4g1,27.4;59.4;45,2024-07-23 15:42:35,27.4,59.4,45
622,t4g1,27.5;59.6;45,2024-07-23 15:52:35,27.5,59.6,45
623,t4g1,27.7;59.4;45,2024-07-23 16:02:36,27.7,59.4,45
624,t4g1,27.8;59.6;45,2024-07-23 16:12:36,27.8,59.6,45
625,t4g1,27.9;59.6;45,2024-07-23 16:22:37,27.9,59.6,45
626,t4g1,27.9;59.7;45,2024-07-23 16:32:37,27.9,59.7,45
