id,temperature,air_quality,humidity
1260,33.1,56.8,40.0
787,26.6,61.3,42.0
1267,33.0,56.8,41.0
1302,33.0,58.6,45.0
1093,31.5,54.0,37.0
955,27.1,68.2,41.0
1499,30.4,50.4,42.0
1439,29.7,51.0,49.0
865,25.2,60.7,46.0
954,27.1,67.7,43.0
1250,33.3,55.1,41.0
1243,33.4,54.9,41.0
803,27.3,67.4,39.0
1134,31.6,59.0,37.0
1025,25.3,59.5,67.0
1390,34.0,54.2,43.0
459,25.9,62.0,37.0
458,25.9,62.5,37.0
1484,30.9,50.2,44.0
1277,32.9,57.1,41.0
660,27.6,70.5,37.0
717,26.4,65.9,47.0
1246,33.3,55.1,40.0
1269,33.0,56.8,42.0
1434,31.2,55.2,48.0
974,27.2,71.3,40.0
1085,31.5,52.7,38.0
663,27.7,71.3,37.0
778,26.6,59.2,42.0
640,26.6,60.5,45.0
501,27.2,64.7,40.0
435,25.0,60.0,38.0
1414,33.7,56.4,40.0
923,26.4,59.6,42.0
455,26.2,61.8,37.0
1066,30.5,49.3,41.0
1296,32.8,59.0,41.0
512,27.5,67.5,36.0
1198,34.5,47.7,37.0
594,25.5,59.0,45.0
608,26.3,58.4,45.0
1398,33.9,54.6,42.0
715,26.7,67.1,46.0
434,25.0,59.1,38.0
517,27.6,68.7,40.0
1150,31.6,60.8,37.0
561,27.8,75.0,39.0
1449,29.6,51.2,47.0
699,27.8,74.2,39.0
1169,32.4,57.2,36.0
534,27.7,71.1,40.0
956,27.1,68.1,42.0
313,26.2,61.6,26.0
424,24.9,61.0,38.0
1013,24.8,59.2,46.0
1266,33.0,56.7,40.0
1388,34.1,54.1,42.0
756,26.0,59.5,43.0
978,27.3,71.8,45.0
1405,33.9,55.6,38.0
632,27.9,59.7,46.0
963,27.2,70.0,42.0
1024,25.3,59.1,72.0
1287,32.8,58.1,40.0
942,27.1,64.3,40.0
947,27.0,65.6,42.0
1481,30.7,50.9,47.0
1416,33.6,56.6,40.0
1110,31.6,57.2,38.0
960,27.1,69.3,42.0
1327,34.6,50.4,39.0
871,24.7,58.1,45.0
996,27.3,74.3,40.0
892,25.7,61.8,42.0
839,27.4,71.4,41.0
1374,34.5,53.1,40.0
